timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 12:21:42,25920.01,25920.0,25916.42,25914.1,-3.5900000000001455
2023-09-03 12:21:43,25920.01,25920.0,25916.42,25914.1,-3.5900000000001455
2023-09-03 12:21:45,25920.01,25920.0,25916.42,25914.1,-3.5900000000001455
2023-09-03 12:21:46,25920.01,25920.0,25916.42,25914.1,-3.5900000000001455
2023-09-03 12:21:48,25920.01,25920.0,25916.42,25914.1,-3.5900000000001455
2023-09-03 12:21:50,25919.88,25919.87,25917.08,25914.1,-2.7999999999992724
2023-09-03 12:21:52,25919.88,25919.87,25917.08,25914.1,-2.7999999999992724
2023-09-03 12:21:53,25919.88,25919.87,25917.08,25914.1,-2.7999999999992724
2023-09-03 12:21:55,25919.37,25919.36,25917.08,25914.1,-2.289999999997235
2023-09-03 12:21:56,25919.37,25919.36,25917.08,25914.1,-2.289999999997235
2023-09-03 12:21:58,25919.37,25919.36,25917.08,25914.1,-2.289999999997235
2023-09-03 12:21:59,25919.37,25919.36,25916.0,25913.6,-3.3699999999989814
2023-09-03 12:22:01,25919.37,25919.36,25916.0,25913.6,-3.3699999999989814
2023-09-03 12:22:03,25919.37,25919.36,25916.0,25913.6,-3.3699999999989814
2023-09-03 12:22:05,25916.44,25916.43,25916.0,25913.6,-0.4399999999986903
2023-09-03 12:22:08,25916.44,25916.43,25913.77,25912.7,-2.6699999999982538
2023-09-03 12:22:10,25916.44,25916.43,25913.71,25910.5,-2.7299999999995634
2023-09-03 12:22:11,25916.44,25916.43,25912.9,25910.49,-3.539999999997235
2023-09-03 12:22:13,25916.44,25916.43,25912.59,25910.49,-3.849999999998545
2023-09-03 12:22:15,25916.44,25916.43,25912.59,25910.49,-3.849999999998545
2023-09-03 12:22:17,25916.44,25916.43,25912.59,25910.49,-3.849999999998545
2023-09-03 12:22:19,25916.44,25916.43,25912.52,25910.49,-3.9199999999982538
2023-09-03 12:22:20,25916.44,25916.43,25913.67,25910.5,-2.7700000000004366
2023-09-03 12:22:22,25916.44,25916.43,25913.61,25910.5,-2.8299999999981083
2023-09-03 12:22:23,25916.44,25916.43,25913.72,25910.51,-2.719999999997526
2023-09-03 12:22:25,25916.44,25916.43,25913.7,25910.51,-2.7399999999979627
2023-09-03 12:22:27,25916.44,25916.43,25913.86,25910.51,-2.5799999999981083
2023-09-03 12:22:29,25916.14,25916.13,25913.82,25910.51,-2.319999999999709
2023-09-03 12:22:31,25916.14,25916.13,25913.78,25910.51,-2.360000000000582
2023-09-03 12:22:33,25916.14,25916.13,25913.93,25910.51,-2.209999999999127
