timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-04 13:29:07,29140.78,29141.41,29166.5,29167.0,29158.0,29158.5
2023-08-04 13:29:18,29143.28,29144.45,29166.5,29167.0,29160.0,29160.5
2023-08-04 13:39:05,29147.38,29149.18,29175.0,29175.5,29163.5,29164.0
2023-08-04 13:39:16,29144.5,29145.48,29174.5,29175.0,29162.5,29163.0
2023-08-04 13:39:55,29125.96,29126.82,29154.0,29154.5,29141.0,29141.5
2023-08-04 13:40:12,29125.44,29126.7,29152.0,29152.5,29141.0,29141.5
2023-08-04 13:40:24,29144.64,29146.74,29170.5,29171.0,29161.0,29161.5
2023-08-04 14:10:14,29206.15,29207.1,29237.5,29238.0,29225.0,29225.5
2023-08-04 14:10:25,29203.91,29204.67,29237.5,29238.0,29223.0,29223.5
2023-08-04 14:11:34,29193.45,29193.83,29227.5,29228.0,29208.0,29208.5
2023-08-04 14:11:46,29195.35,29196.55,29227.5,29228.0,29208.0,29208.5
2023-08-04 14:12:25,29204.58,29205.56,29234.0,29234.5,29220.0,29220.5
2023-08-04 14:12:36,29200.98,29201.84,29234.0,29234.5,29219.5,29220.0
2023-08-04 14:13:41,29194.43,29195.61,29232.5,29233.0,29211.5,29212.0
2023-08-04 14:13:52,29202.14,29203.03,29232.5,29233.0,29214.0,29214.5
2023-08-04 14:24:41,29186.48,29187.32,29225.5,29226.0,29204.5,29205.0
2023-08-04 14:24:52,29185.63,29185.69,29225.5,29226.0,29204.5,29205.0
2023-08-04 14:29:30,29174.01,29174.69,29213.5,29214.0,29196.0,29196.5
2023-08-04 14:29:41,29173.32,29174.09,29213.5,29214.0,29196.0,29196.5
2023-08-04 16:43:30,29237.03,29237.8,29276.0,29276.5,29253.0,29253.5
2023-08-04 16:43:41,29238.73,29239.2,29276.0,29276.5,29253.0,29253.5
2023-08-04 16:43:52,29246.05,29246.7,29276.0,29276.5,29258.5,29259.0
2023-08-04 16:44:02,29248.18,29248.3,29281.0,29281.5,29260.0,29261.0
2023-08-04 16:44:13,29249.18,29249.75,29281.0,29281.5,29262.0,29262.5
2023-08-04 16:44:24,29246.56,29247.41,29281.0,29281.5,29263.0,29263.5
2023-08-04 16:44:35,29250.13,29251.0,29281.0,29281.5,29262.0,29262.5
2023-08-04 16:44:45,29248.78,29249.31,29281.0,29281.5,29265.0,29265.5
2023-08-04 16:44:56,29248.92,29249.68,29281.0,29281.5,29264.5,29265.0
2023-08-04 16:45:07,29251.68,29253.51,29281.0,29281.5,29267.5,29268.0
2023-08-04 16:45:18,29253.4,29253.74,29281.0,29281.5,29269.5,29270.0
2023-08-04 16:45:28,29251.94,29252.33,29281.0,29281.5,29269.0,29269.5
2023-08-04 16:45:39,29255.35,29256.06,29282.5,29283.0,29269.5,29270.0
2023-08-04 16:45:50,29260.28,29261.57,29293.0,29293.5,29273.0,29273.5
2023-08-04 16:46:01,29260.71,29261.5,29293.0,29293.5,29277.0,29277.5
2023-08-04 16:46:12,29260.31,29261.0,29294.5,29295.0,29278.5,29279.0
2023-08-04 16:46:22,29257.12,29257.99,29294.5,29295.0,29274.0,29274.5
2023-08-04 16:46:33,29255.51,29255.97,29294.5,29295.0,29272.0,29272.5
2023-08-04 16:46:44,29254.92,29255.34,29294.5,29295.0,29271.0,29271.5
2023-08-04 16:46:54,29250.57,29251.17,29290.5,29291.0,29270.0,29270.5
2023-08-04 16:47:05,29248.41,29248.82,29289.5,29290.0,29264.5,29265.0
2023-08-04 16:47:16,29239.92,29242.0,29273.0,29273.5,29264.5,29265.0
2023-08-04 16:47:27,29239.4,29239.98,29273.0,29273.5,29253.0,29253.5
2023-08-04 16:47:38,29236.5,29237.0,29273.0,29273.5,29252.0,29252.5
2023-08-04 16:47:49,29238.64,29239.64,29273.0,29273.5,29252.0,29252.5
2023-08-04 16:48:00,29236.41,29237.4,29275.5,29276.0,29253.5,29254.0
2023-08-04 16:48:11,29234.18,29234.97,29275.5,29276.0,29251.5,29252.0
2023-08-04 16:48:21,29257.02,29258.89,29287.0,29287.5,29273.0,29273.5
