timestamp,Binance_BTCTUSD,MEXC_BTCUSDT
2023-06-28 08:26:54,30316.03,30262.0
2023-06-28 08:27:02,30315.4,30260.01
2023-06-28 08:27:10,30314.99,30260.01
2023-06-28 08:27:18,30317.94,30260.01
2023-06-28 08:27:26,30315.54,30260.01
2023-06-28 08:27:34,30317.13,30260.01
2023-06-28 08:27:42,30318.74,30260.01
2023-06-28 08:27:49,30320.71,30260.01
2023-06-28 08:27:58,30315.67,30261.14
2023-06-28 08:28:06,30319.79,30261.14
2023-06-28 08:28:14,30321.32,30261.14
2023-06-28 08:28:22,30321.99,30261.14
2023-06-28 08:28:29,30321.38,30261.14
2023-06-28 08:28:38,30319.87,30261.14
2023-06-28 08:28:46,30317.55,30261.14
2023-06-28 08:28:54,30318.03,30261.14
2023-06-28 08:29:02,30317.47,30261.14
2023-06-28 08:29:10,30315.59,30261.14
2023-06-28 08:29:18,30312.85,30258.14
2023-06-28 08:29:26,30310.62,30258.14
2023-06-28 08:29:35,30316.86,30258.14
2023-06-28 08:29:43,30315.34,30259.91
2023-06-28 08:29:51,30317.38,30260.83
2023-06-28 08:30:00,30318.4,30265.07
2023-06-28 08:30:08,30314.72,30265.07
2023-06-28 08:30:16,30310.63,30261.73
2023-06-28 08:30:25,30307.01,30256.95
2023-06-28 08:30:33,30304.51,30250.54
2023-06-28 08:30:41,30304.31,30250.22
2023-06-28 08:30:49,30305.9,30250.22
2023-06-28 08:30:58,30305.36,30250.22
2023-06-28 08:31:06,30300.35,30250.07
2023-06-28 08:31:15,30301.14,30250.07
2023-06-28 08:31:23,30299.16,30250.07
2023-06-28 08:31:31,30301.62,30247.16
2023-06-28 08:31:39,30298.19,30247.16
2023-06-28 08:31:47,30299.97,30247.16
2023-06-28 08:31:55,30300.0,30247.16
2023-06-28 08:32:03,30301.24,30247.16
2023-06-28 08:32:12,30302.21,30247.16
2023-06-28 08:32:20,30301.12,30247.16
2023-06-28 08:32:29,30298.2,30245.99
2023-06-28 08:32:40,30299.06,30245.02
2023-06-28 08:32:53,30298.73,30245.02
2023-06-28 08:33:06,30308.45,30245.02
2023-06-28 08:33:19,30311.59,30250.24
2023-06-28 08:33:27,30302.87,30254.22
2023-06-28 08:33:34,30299.52,30250.23
2023-06-28 08:33:42,30296.51,30250.23
2023-06-28 08:33:50,30294.94,30247.12
2023-06-28 08:33:58,30295.66,30247.12
2023-06-28 08:34:07,30296.67,30247.12
2023-06-28 08:34:15,30299.49,30247.12
2023-06-28 08:34:24,30294.79,30249.22
2023-06-28 08:34:31,30295.19,30246.64
2023-06-28 08:34:40,30294.32,30245.81
2023-06-28 08:34:50,30295.88,30245.79
2023-06-28 08:34:58,30294.21,30245.79
2023-06-28 08:35:07,30290.9,30245.79
2023-06-28 08:35:15,30284.0,30239.43
2023-06-28 08:35:24,30283.42,30232.38
2023-06-28 08:35:32,30283.64,30232.38
2023-06-28 08:35:40,30282.84,30232.38
2023-06-28 08:35:48,30280.58,30230.98
2023-06-28 08:35:57,30281.19,30230.48
2023-06-28 08:36:05,30277.58,30230.04
2023-06-28 08:36:13,30277.31,30228.31
2023-06-28 08:36:21,30275.8,30228.2
2023-06-28 08:36:29,30279.51,30225.45
2023-06-28 08:36:37,30276.81,30225.45
2023-06-28 08:36:45,30272.13,30225.45
2023-06-28 08:36:52,30271.98,30219.95
2023-06-28 08:37:00,30277.91,30219.95
2023-06-28 08:37:09,30276.26,30225.77
2023-06-28 08:37:16,30276.02,30225.77
2023-06-28 08:37:25,30274.06,30225.77
2023-06-28 08:37:32,30273.56,30221.4
2023-06-28 08:37:40,30270.18,30220.35
2023-06-28 08:37:48,30264.09,30216.02
2023-06-28 08:37:56,30262.52,30216.01
2023-06-28 08:38:05,30263.4,30210.74
2023-06-28 08:38:13,30271.77,30210.74
2023-06-28 08:38:21,30270.91,30211.98
2023-06-28 08:38:29,30269.99,30217.71
2023-06-28 08:38:38,30273.4,30217.71
2023-06-28 08:38:46,30274.53,30218.65
2023-06-28 08:38:53,30271.94,30218.65
2023-06-28 08:39:01,30272.37,30218.65
2023-06-28 08:39:10,30272.0,30218.65
2023-06-28 08:39:18,30273.72,30218.65
2023-06-28 08:39:26,30272.37,30218.65
2023-06-28 08:39:34,30271.74,30218.65
2023-06-28 08:39:42,30272.21,30218.65
2023-06-28 08:39:50,30271.63,30218.65
2023-06-28 08:39:58,30272.59,30218.65
2023-06-28 08:40:06,30273.0,30218.65
2023-06-28 08:40:14,30273.69,30218.65
2023-06-28 08:40:22,30272.96,30218.65
2023-06-28 08:40:33,30272.74,30218.65
2023-06-28 08:40:41,30274.13,30218.65
2023-06-28 08:40:49,30281.3,30223.33
2023-06-28 08:40:56,30290.59,30230.97
2023-06-28 08:41:05,30294.26,30238.0
2023-06-28 08:41:13,30298.76,30240.0
2023-06-28 08:41:21,30295.94,30243.93
2023-06-28 08:41:29,30293.41,30242.34
2023-06-28 08:41:37,30292.0,30242.0
2023-06-28 08:41:45,30291.95,30238.67
2023-06-28 08:41:53,30290.42,30238.67
2023-06-28 08:42:02,30290.17,30238.67
2023-06-28 08:42:10,30292.38,30238.67
2023-06-28 08:42:18,30287.35,30238.67
