timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-08-01 00:37:13,1859.01,1859.13,1859.6,1859.65,1858.37,1858.45
2023-08-01 00:37:44,1858.96,1859.04,1859.6,1859.65,1858.37,1858.45
2023-08-01 00:38:15,1858.82,1858.95,1859.6,1859.65,1858.34,1858.42
2023-08-01 00:38:45,1859.38,1859.48,1860.1,1860.15,1858.44,1858.52
2023-08-01 00:39:16,1859.99,1860.05,1860.1,1860.15,1858.76,1858.84
2023-08-01 00:39:47,1860.05,1860.12,1860.85,1860.9,1858.98,1859.06
2023-08-01 00:40:17,1860.03,1860.13,1860.85,1860.9,1858.98,1859.06
2023-08-01 00:40:48,1860.01,1860.1,1860.85,1860.9,1858.98,1859.06
2023-08-01 00:41:19,1860.01,1860.18,1860.85,1860.9,1858.98,1859.06
2023-08-01 00:41:49,1860.37,1860.5,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:42:20,1860.05,1860.17,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:42:51,1860.41,1860.56,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:43:21,1860.33,1860.5,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:43:52,1860.05,1860.14,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:44:23,1860.08,1860.21,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:44:54,1860.16,1860.27,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:45:24,1860.1,1860.24,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:45:55,1860.32,1860.49,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:46:26,1860.3,1860.46,1860.85,1860.9,1859.31,1859.39
2023-08-01 00:46:56,1860.55,1860.66,1861.1,1861.15,1859.45,1859.53
2023-08-01 00:47:27,1860.75,1860.9,1861.1,1861.15,1859.45,1859.53
2023-08-01 00:47:58,1860.8,1860.96,1861.1,1861.15,1859.62,1859.7
2023-08-01 00:48:28,1860.56,1860.74,1861.1,1861.15,1859.78,1859.86
2023-08-01 00:48:59,1860.59,1860.75,1861.1,1861.15,1859.78,1859.86
2023-08-01 00:49:30,1860.61,1860.78,1861.1,1861.15,1859.78,1859.86
2023-08-01 00:50:01,1860.71,1860.83,1861.1,1861.15,1859.78,1859.86
2023-08-01 00:50:31,1860.7,1860.88,1861.1,1861.15,1859.78,1859.86
2023-08-01 00:51:02,1860.65,1860.74,1861.1,1861.15,1859.85,1859.93
2023-08-01 00:51:33,1860.89,1861.05,1861.1,1861.15,1859.85,1859.93
2023-08-01 00:52:03,1860.91,1860.99,1861.1,1861.15,1859.85,1859.93
2023-08-01 00:52:34,1860.74,1860.87,1861.15,1861.2,1859.85,1859.93
2023-08-01 00:53:05,1860.19,1860.34,1860.75,1860.8,1859.36,1859.44
2023-08-01 00:53:36,1860.16,1860.27,1860.75,1860.8,1859.36,1859.44
2023-08-01 00:54:06,1860.61,1860.69,1861.15,1861.2,1859.52,1859.6
2023-08-01 00:54:37,1860.87,1860.93,1861.15,1861.2,1859.6,1859.68
2023-08-01 00:55:08,1860.89,1860.97,1861.15,1861.2,1859.75,1859.83
2023-08-01 00:55:38,1860.99,1861.11,1861.15,1861.2,1859.75,1859.83
2023-08-01 00:56:09,1860.92,1861.04,1861.15,1861.2,1859.75,1859.83
2023-08-01 00:56:40,1860.95,1861.1,1861.15,1861.2,1859.75,1859.83
2023-08-01 00:57:10,1861.03,1861.19,1861.25,1861.3,1859.78,1859.86
2023-08-01 00:57:41,1861.59,1861.71,1862.3,1862.35,1860.72,1860.82
2023-08-01 00:58:12,1861.9,1861.98,1862.3,1862.35,1860.72,1860.82
2023-08-01 00:58:43,1861.87,1861.99,1862.3,1862.35,1860.72,1860.82
2023-08-01 00:59:13,1861.82,1861.97,1862.3,1862.35,1860.87,1860.97
2023-08-01 00:59:44,1861.19,1861.31,1861.9,1861.95,1860.59,1860.69
2023-08-01 01:00:15,1861.89,1862.03,1862.35,1862.4,1860.69,1860.79
2023-08-01 01:00:45,1861.89,1862.0,1862.35,1862.4,1860.94,1861.04
2023-08-01 01:01:16,1861.63,1861.75,1862.35,1862.4,1861.07,1861.17
2023-08-01 01:01:47,1862.01,1862.13,1862.65,1862.7,1861.32,1861.42
2023-08-01 01:02:17,1862.18,1862.28,1862.65,1862.7,1861.52,1861.62
2023-08-01 01:02:48,1862.06,1862.16,1862.65,1862.7,1861.52,1861.62
2023-08-01 01:03:19,1861.47,1861.67,1862.65,1862.7,1861.52,1861.62
2023-08-01 01:03:50,1861.78,1861.88,1862.65,1862.7,1861.25,1861.35
2023-08-01 01:04:20,1863.0,1863.2,1863.35,1863.4,1861.79,1861.89
2023-08-01 01:04:51,1863.57,1863.78,1864.0,1864.05,1862.6,1862.7
2023-08-01 01:05:22,1863.16,1863.37,1864.05,1864.1,1862.62,1862.72
2023-08-01 01:05:52,1862.69,1862.88,1863.55,1863.6,1862.59,1862.69
2023-08-01 01:06:23,1862.76,1862.93,1863.55,1863.6,1862.71,1862.81
2023-08-01 01:06:54,1862.69,1862.78,1863.55,1863.6,1862.79,1862.89
2023-08-01 01:07:24,1862.21,1862.4,1863.05,1863.1,1862.38,1862.48
2023-08-01 01:07:55,1861.5,1861.66,1862.35,1862.4,1861.62,1862.07
2023-08-01 01:08:26,1861.66,1861.83,1862.35,1862.4,1861.69,1861.92
2023-08-01 01:08:57,1862.21,1862.32,1862.95,1863.0,1861.88,1861.98
2023-08-01 01:09:27,1862.21,1862.3,1862.95,1863.0,1861.99,1862.09
2023-08-01 01:09:58,1862.26,1862.38,1862.95,1863.0,1861.99,1862.09
2023-08-01 01:10:29,1862.65,1862.77,1862.95,1863.0,1861.99,1862.09
2023-08-01 01:10:59,1862.32,1862.46,1862.95,1863.0,1861.99,1862.09
2023-08-01 01:11:30,1862.94,1863.04,1863.25,1863.3,1862.54,1862.64
2023-08-01 01:12:01,1863.04,1863.17,1863.65,1863.7,1862.94,1863.04
2023-08-01 01:12:31,1862.8,1862.91,1863.55,1863.6,1862.91,1863.03
2023-08-01 01:13:02,1862.67,1862.76,1863.55,1863.6,1862.94,1863.04
2023-08-01 01:13:33,1862.42,1862.53,1863.55,1863.6,1862.17,1862.32
2023-08-01 01:14:03,1862.31,1862.46,1863.55,1863.6,1862.33,1862.43
