symbol,price24hPcnt,lastPrice,highPrice24h,take_profit
LINKUSDT,-0.0163,7.064,7.268,1
LRCUSDT,-0.0161,0.3351,0.3456,1
FXSUSDT,-0.0160,8.0688,8.3482,1
ACHUSDT,-0.0159,0.032704,0.034014,1
ETCUSDT,-0.0158,19.26,19.74,1
ARUSDT,-0.0152,7.5773,7.7922,1
AGIXUSDT,-0.0148,0.3406,0.3499,1
COMPUSDT,-0.0146,39.21,40.19,1
COREUSDT,-0.0145,1.5208,1.5502,1
DOTUSDT,-0.0145,5.857,5.988,1
ETHUSDT,-0.0142,1824.01,1876.07,1
KDAUSDT,-0.0140,0.9095,0.9339,1
XECUSDT,-0.0139,0.00002914,0.00002972,1
GLMRUSDT,-0.0135,0.352,0.3595,1
KLAYUSDT,-0.0130,0.21986,0.22467,1
DGBUSDT,-0.0127,0.009111,0.009309,1
PRIMEUSDT,-0.0125,1.42,1.487,1
UMAUSDT,-0.0124,1.8648,1.9071,1
GMXUSDT,-0.0121,70.8021,73.038,1
OASUSDT,-0.0116,0.088516,0.091977,1
ONEUSDT,-0.0114,0.01987,0.02033,1
ENSUSDT,-0.0113,11.92,12.2,1
BITUSDT,-0.0110,0.4923,0.4996,1
BONKUSDT,-0.0109,0.0000006165,0.0000006476,1
BTTUSDT,-0.0109,0.0000006272,0.0000006341,1
TRXUSDT,-0.0107,0.06589,0.06675,1
PERPUSDT,-0.0106,0.6995,0.7149,1
ETHWUSDT,-0.0106,2.968,3.0404,1
ZECUSDT,-0.0106,36.46,37.38,1
SUSHIUSDT,-0.0105,1.039,1.06,1
DFIUSDT,-0.0105,0.4539,0.4637,1
FILUSDT,-0.0104,5.218,5.319,1
SHIBUSDT,-0.0100,0.0000101937,0.0000103797,1
QNTUSDT,-0.0099,110.1,112,1
CTCUSDT,-0.0096,0.310555,0.330143,1
PIPUSDT,-0.0087,0.18787,0.19499,1
XEMUSDT,-0.0074,0.03615,0.03697,1
EOSUSDT,-0.0072,1.0383,1.0609,1
LOOKSUSDT,-0.0067,0.1327,0.1362,1
ATOMUSDT,-0.0064,10.7695,10.9871,1
PTUUSDT,-0.0063,0.3318,0.3395,1
LUNCUSDT,-0.0062,0.00010923,0.0001114,1
AAVEUSDT,-0.0062,69.3052,70.6312,1
DOGEUSDT,-0.0061,0.07855,0.0798,1
OKSEUSDT,-0.0060,0.07567,0.07765,1
RONDUSDT,-0.0053,0.006911,0.007596,1
IMEUSDT,-0.0052,0.000191,0.0002174,1
1SOLUSDT,-0.0052,0.005958,0.006036,1
SPELLUSDT,-0.0050,0.00067584,0.00068978,1
ECOXUSDT,-0.0050,0.8387,0.8503,1
AGLDUSDT,-0.0048,0.4337,0.4394,1
BABYDOGEUSDT,-0.0048,0.000000002896,0.000000002971,1
KMONUSDT,-0.0048,0.009996,0.010052,1
BLURUSDT,-0.0047,0.59537,0.6165,1
XYMUSDT,-0.0044,0.03144,0.03444,1
ZENUSDT,-0.0043,9.5888,9.9574,1
AFCUSDT,-0.0041,2.3577,2.4241,1
KONUSDT,-0.0039,0.07938,0.08104,1
ARBUSDT,-0.0038,1.321,1.355,1
DLCUSDT,-0.0038,0.13,0.13049,1
JUVUSDT,-0.0037,3.1282,3.1984,1
PSPUSDT,-0.0035,0.035192,0.037713,1
USDDUSDT,-0.0033,0.9867,0.9913,1
AZYUSDT,-0.0030,0.00993,0.01014,1
TONUSDT,-0.0029,2.2869,2.3112,1
HOTUSDT,-0.0027,0.001842,0.001871,1
EVERUSDT,-0.0026,0.06479,0.06519,1
AGIUSDT,-0.0025,0.17798,0.182,1
BNBUSDT,-0.0023,330.9484,333.8339,1
PLAYUSDT,-0.0018,0.06027,0.06038,1
APEXUSDT,-0.0017,0.2929,0.2971,1
USDTEUR,-0.0011,0.9085,0.9099,1
DEFYUSDT,-0.0010,0.005138,0.005172,1
AVAXUSDT,-0.0007,16.9956,17.245,1
NEXOUSDT,-0.0002,0.6588,0.678,1
