timestamp,BTC-07JUL23,BTC-23JUN23,BTC-25AUG23,BTC-28JUL23,BTC-29DEC23,BTC-29SEP23,BTC-30JUN23,BTCPERP,BTCUSDT,BTC-07JUL23_vs_BTCPERP,BTC-07JUL23_vs_BTCUSDT,BTC-23JUN23_vs_BTCPERP,BTC-23JUN23_vs_BTCUSDT,BTC-25AUG23_vs_BTCPERP,BTC-25AUG23_vs_BTCUSDT,BTC-28JUL23_vs_BTCPERP,BTC-28JUL23_vs_BTCUSDT,BTC-29DEC23_vs_BTCPERP,BTC-29DEC23_vs_BTCUSDT,BTC-29SEP23_vs_BTCPERP,BTC-29SEP23_vs_BTCUSDT,BTC-30JUN23_vs_BTCPERP,BTC-30JUN23_vs_BTCUSDT,BTCPERP_vs_BTCPERP,BTCPERP_vs_BTCUSDT,BTCUSDT_vs_BTCPERP,BTCUSDT_vs_BTCUSDT
2023-06-19 16:02:41,26495.40,26465.54,26619.80,26540.69,26998.14,26718.17,26480.36,26420.50,26429.80,74.90000000000146,65.60000000000218,45.04000000000087,35.7400000000016,199.29999999999927,190.0,120.18999999999869,110.88999999999942,577.6399999999994,568.3400000000001,297.66999999999825,288.369999999999,59.86000000000058,50.56000000000131,0.0,-9.299999999999272,9.299999999999272,0.0
2023-06-19 16:03:17,26494.37,26464.51,26618.22,26540.17,26997.00,26716.51,26479.06,26420.50,26429.70,73.86999999999898,64.66999999999825,44.0099999999984,34.80999999999767,197.72000000000116,188.52000000000044,119.66999999999825,110.46999999999753,576.5,567.2999999999993,296.0099999999984,286.8099999999977,58.56000000000131,49.36000000000058,0.0,-9.200000000000728,9.200000000000728,0.0
2023-06-19 16:03:41,26487.39,26457.77,26614.82,26533.87,26976.45,26708.71,26472.60,26415.00,26420.40,72.38999999999942,66.98999999999796,42.77000000000044,37.36999999999898,199.8199999999997,194.41999999999825,118.86999999999898,113.46999999999753,561.4500000000007,556.0499999999993,293.7099999999991,288.3099999999977,57.599999999998545,52.19999999999709,0.0,-5.400000000001455,5.400000000001455,0.0
2023-06-19 16:04:17,26482.47,26452.71,26611.18,26534.53,26975.28,26710.55,26476.10,26415.00,26419.00,67.47000000000116,63.470000000001164,37.70999999999913,33.70999999999913,196.1800000000003,192.1800000000003,119.52999999999884,115.52999999999884,560.2799999999988,556.2799999999988,295.5499999999993,291.5499999999993,61.099999999998545,57.099999999998545,0.0,-4.0,4.0,0.0
2023-06-19 16:04:41,26480.40,26449.07,26608.59,26532.09,26987.80,26708.31,26472.41,26415.00,26417.40,65.40000000000146,63.0,34.06999999999971,31.669999999998254,193.59000000000015,191.1899999999987,117.09000000000015,114.68999999999869,572.7999999999993,570.3999999999978,293.3100000000013,290.90999999999985,57.409999999999854,55.0099999999984,0.0,-2.400000000001455,2.400000000001455,0.0
2023-06-19 16:05:17,26481.41,26450.34,26609.08,26525.51,26988.28,26709.70,26474.17,26415.00,26417.08,66.40999999999985,64.32999999999811,35.340000000000146,33.2599999999984,194.08000000000175,192.0,110.5099999999984,108.42999999999665,573.2799999999988,571.1999999999971,294.7000000000007,292.619999999999,59.169999999998254,57.08999999999651,0.0,-2.0800000000017462,2.0800000000017462,0.0
2023-06-19 16:05:41,26481.49,26449.84,26608.18,26525.41,26988.07,26709.25,26473.32,26415.00,26417.04,66.4900000000016,64.45000000000073,34.840000000000146,32.79999999999927,193.1800000000003,191.13999999999942,110.40999999999985,108.36999999999898,573.0699999999997,571.0299999999988,294.25,292.2099999999991,58.31999999999971,56.279999999998836,0.0,-2.040000000000873,2.040000000000873,0.0
2023-06-19 16:06:17,26481.79,26450.11,26608.57,26525.67,26988.20,26709.39,26476.56,26415.00,26416.96,66.79000000000087,64.83000000000175,35.11000000000058,33.150000000001455,193.5699999999997,191.61000000000058,110.66999999999825,108.70999999999913,573.2000000000007,571.2400000000016,294.3899999999994,292.4300000000003,61.56000000000131,59.60000000000218,0.0,-1.9599999999991269,1.9599999999991269,0.0
2023-06-19 16:06:41,26481.95,26450.76,26615.69,26526.43,26974.75,26709.17,26473.95,26414.20,26416.92,67.75,65.03000000000247,36.55999999999767,33.840000000000146,201.48999999999796,198.77000000000044,112.22999999999956,109.51000000000204,560.5499999999993,557.8300000000017,294.9699999999975,292.25,59.75,57.030000000002474,0.0,-2.719999999997526,2.719999999997526,0.0
2023-06-19 16:07:17,26481.33,26449.69,26608.18,26525.50,26973.90,26706.98,26471.81,26414.20,26416.72,67.13000000000102,64.61000000000058,35.48999999999796,32.969999999997526,193.97999999999956,191.45999999999913,111.29999999999927,108.77999999999884,559.7000000000007,557.1800000000003,292.77999999999884,290.2599999999984,57.61000000000058,55.090000000000146,0.0,-2.5200000000004366,2.5200000000004366,0.0
2023-06-19 16:07:41,26481.11,26449.45,26608.29,26524.81,26973.58,26706.82,26471.73,26414.20,26416.43,66.90999999999985,64.68000000000029,35.25,33.02000000000044,194.09000000000015,191.86000000000058,110.61000000000058,108.38000000000102,559.380000000001,557.1500000000015,292.619999999999,290.3899999999994,57.529999999998836,55.29999999999927,0.0,-2.2299999999995634,2.2299999999995634,0.0
2023-06-19 16:08:17,26482.29,26451.51,26609.72,26527.14,26974.75,26708.35,26469.08,26416.44,26417.21,65.85000000000218,65.08000000000175,35.06999999999971,34.29999999999927,193.28000000000247,192.51000000000204,110.70000000000073,109.93000000000029,558.3100000000013,557.5400000000009,291.90999999999985,291.1399999999994,52.640000000003056,51.87000000000262,0.0,-0.7700000000004366,0.7700000000004366,0.0
2023-06-19 16:08:41,26482.00,26450.22,26609.30,26527.38,26974.37,26707.72,26468.92,26415.26,26416.80,66.7400000000016,65.20000000000073,34.960000000002765,33.42000000000189,194.04000000000087,192.5,112.12000000000262,110.58000000000175,559.1100000000006,557.5699999999997,292.46000000000276,290.9200000000019,53.659999999999854,52.11999999999898,0.0,-1.5400000000008731,1.5400000000008731,0.0
2023-06-19 16:09:17,26482.04,26451.86,26609.90,26528.07,26987.99,26708.15,26468.82,26416.30,26416.38,65.7400000000016,65.65999999999985,35.56000000000131,35.47999999999956,193.60000000000218,193.52000000000044,111.77000000000044,111.68999999999869,571.6900000000023,571.6100000000006,291.8500000000022,291.77000000000044,52.52000000000044,52.43999999999869,0.0,-0.08000000000174623,0.08000000000174623,0.0
2023-06-19 16:09:41,26480.99,26450.68,26608.90,26527.39,26987.02,26707.56,26467.78,26415.13,26416.15,65.86000000000058,64.84000000000015,35.54999999999927,34.529999999998836,193.77000000000044,192.75,112.2599999999984,111.23999999999796,571.8899999999994,570.869999999999,292.4300000000003,291.40999999999985,52.64999999999782,51.62999999999738,0.0,-1.0200000000004366,1.0200000000004366,0.0
2023-06-19 16:10:17,26480.95,26449.45,26609.90,26525.23,26973.17,26708.42,26467.55,26414.20,26416.02,66.75,64.93000000000029,35.25,33.43000000000029,195.70000000000073,193.88000000000102,111.02999999999884,109.20999999999913,558.9699999999975,557.1499999999978,294.2199999999975,292.3999999999978,53.349999999998545,51.529999999998836,0.0,-1.819999999999709,1.819999999999709,0.0
2023-06-19 16:10:41,26485.35,26455.46,26617.12,26532.13,26977.52,26725.34,26470.78,26420.72,26425.00,64.62999999999738,60.349999999998545,34.73999999999796,30.459999999999127,196.39999999999782,192.11999999999898,111.40999999999985,107.13000000000102,556.7999999999993,552.5200000000004,304.619999999999,300.34000000000015,50.05999999999767,45.779999999998836,0.0,-4.279999999998836,4.279999999998836,0.0
2023-06-19 16:11:18,26483.49,26452.43,26611.31,26528.79,26975.64,26709.68,26469.32,26416.84,26424.60,66.65000000000146,58.890000000003056,35.590000000000146,27.830000000001746,194.47000000000116,186.71000000000276,111.95000000000073,104.19000000000233,558.7999999999993,551.0400000000009,292.84000000000015,285.08000000000175,52.47999999999956,44.720000000001164,0.0,-7.759999999998399,7.759999999998399,0.0
