timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-02 09:25:31,29408.71,29409.25,29449.0,29449.5,29455.0,29456.0
2023-08-02 09:25:41,29402.04,29402.64,29445.5,29446.0,29452.0,29452.5
2023-08-02 09:25:52,29407.39,29408.59,29451.5,29452.0,29456.0,29456.5
2023-08-02 09:26:03,29400.03,29401.08,29445.5,29446.0,29453.0,29453.5
2023-08-02 09:26:14,29387.74,29389.9,29436.5,29437.0,29440.0,29440.5
2023-08-02 09:26:24,29391.72,29392.26,29439.0,29439.5,29441.5,29442.0
2023-08-02 09:26:35,29397.08,29397.71,29439.0,29439.5,29443.0,29443.5
2023-08-02 09:26:46,29392.0,29392.9,29441.5,29442.0,29443.0,29443.5
2023-08-02 09:26:56,29390.08,29391.51,29439.0,29439.5,29442.5,29443.0
2023-08-02 09:27:07,29389.46,29390.45,29439.0,29439.5,29441.0,29441.5
2023-08-02 09:27:18,29389.51,29390.16,29439.0,29439.5,29441.0,29441.5
2023-08-02 09:27:29,29390.01,29391.17,29439.0,29439.5,29441.5,29442.0
2023-08-02 09:27:40,29391.0,29391.97,29439.0,29439.5,29440.5,29441.0
2023-08-02 09:27:51,29390.49,29391.14,29439.0,29439.5,29440.0,29440.5
2023-08-02 09:28:02,29385.0,29385.62,29434.5,29435.0,29438.5,29439.0
2023-08-02 09:28:13,29394.03,29394.88,29437.5,29438.0,29439.5,29441.0
2023-08-02 09:33:35,29382.11,29384.4,29430.0,29430.5,29434.0,29434.5
2023-08-02 09:33:46,29380.38,29381.5,29430.0,29430.5,29436.0,29436.5
2023-08-02 09:34:30,29387.86,29388.41,29436.5,29437.0,29440.0,29440.5
2023-08-02 09:34:41,29375.54,29377.1,29428.5,29429.0,29435.0,29435.5
2023-08-02 09:34:52,29377.29,29377.99,29426.0,29426.5,29430.0,29430.5
2023-08-02 09:35:03,29382.05,29384.1,29427.0,29427.5,29431.0,29431.5
2023-08-02 09:35:14,29381.76,29382.38,29427.0,29427.5,29431.5,29432.0
2023-08-02 09:35:24,29380.42,29381.31,29427.0,29427.5,29430.5,29431.0
2023-08-02 09:35:35,29392.6,29393.97,29436.5,29437.0,29438.5,29439.0
2023-08-02 09:35:46,29386.47,29389.04,29436.5,29437.0,29440.0,29440.5
2023-08-02 09:35:56,29426.02,29429.68,29469.5,29470.0,29470.5,29471.0
2023-08-02 09:36:08,29431.47,29433.61,29480.5,29481.0,29483.0,29483.5
2023-08-02 09:36:19,29421.89,29423.57,29475.0,29475.5,29476.5,29477.0
2023-08-02 09:36:29,29427.96,29429.22,29471.5,29472.0,29476.5,29477.0
2023-08-02 09:36:40,29422.19,29423.96,29469.0,29469.5,29474.0,29474.5
2023-08-02 09:36:51,29441.0,29442.36,29484.5,29485.0,29484.5,29485.0
2023-08-02 09:37:01,29454.24,29456.17,29499.5,29500.0,29505.0,29505.5
2023-08-02 09:37:12,29453.15,29453.72,29495.5,29496.0,29503.0,29503.5
2023-08-02 09:37:23,29468.65,29470.66,29516.0,29516.5,29521.0,29522.0
2023-08-02 09:37:34,29472.0,29474.27,29513.5,29514.0,29518.0,29518.5
2023-08-02 09:37:45,29463.74,29465.97,29506.0,29506.5,29509.0,29509.5
2023-08-02 09:37:55,29461.75,29463.25,29504.5,29505.0,29510.5,29511.0
2023-08-02 09:38:06,29463.8,29464.35,29501.5,29502.0,29507.0,29507.5
2023-08-02 09:38:17,29469.37,29471.88,29511.5,29512.0,29509.5,29510.0
2023-08-02 09:38:28,29469.0,29469.99,29510.0,29510.5,29514.0,29514.5
2023-08-02 09:38:39,29466.82,29467.72,29510.0,29510.5,29512.5,29513.0
2023-08-02 09:38:49,29459.26,29459.94,29506.0,29506.5,29510.5,29511.0
2023-08-02 09:39:00,29458.49,29460.1,29500.5,29501.0,29507.0,29507.5
2023-08-02 09:39:11,29456.54,29459.6,29500.5,29501.0,29506.5,29507.0
2023-08-02 09:39:22,29457.15,29458.45,29500.5,29501.0,29506.0,29506.5
2023-08-02 09:39:33,29454.57,29455.59,29500.5,29501.0,29504.5,29505.0
2023-08-02 09:39:44,29451.32,29452.0,29497.0,29497.5,29503.5,29504.0
2023-08-02 09:39:54,29446.86,29447.93,29491.5,29492.0,29499.5,29500.0
2023-08-02 09:40:05,29455.14,29457.29,29496.5,29497.0,29500.0,29500.5
2023-08-02 09:40:16,29453.11,29454.22,29496.5,29497.0,29503.5,29504.0
2023-08-02 09:40:27,29443.01,29444.06,29485.5,29486.0,29494.5,29495.0
2023-08-02 09:40:38,29449.77,29450.8,29490.5,29491.0,29498.0,29498.5
2023-08-02 09:40:48,29447.7,29448.56,29491.0,29491.5,29499.5,29500.0
2023-08-02 09:40:59,29455.1,29456.54,29491.0,29491.5,29499.5,29500.0
2023-08-02 09:41:10,29448.01,29449.01,29491.0,29491.5,29499.5,29500.0
2023-08-02 09:41:21,29461.5,29462.1,29506.0,29506.5,29509.5,29510.0
2023-08-02 09:41:31,29464.01,29464.96,29505.0,29505.5,29508.5,29509.0
2023-08-02 09:41:42,29467.53,29469.07,29510.0,29510.5,29511.5,29512.0
2023-08-02 09:41:53,29452.87,29455.02,29500.0,29500.5,29503.5,29504.0
2023-08-02 09:42:04,29451.29,29452.8,29496.0,29496.5,29499.0,29499.5
2023-08-02 09:42:14,29451.11,29452.76,29496.0,29496.5,29497.5,29498.0
2023-08-02 09:42:25,29450.05,29451.44,29496.0,29496.5,29498.0,29498.5
2023-08-02 09:42:36,29445.52,29446.72,29493.0,29493.5,29496.5,29497.0
2023-08-02 09:42:46,29444.05,29445.11,29489.0,29489.5,29495.0,29495.5
2023-08-02 09:42:57,29442.13,29442.72,29488.0,29488.5,29491.5,29492.0
2023-08-02 09:43:08,29442.95,29444.43,29488.0,29488.5,29491.5,29492.0
2023-08-02 09:43:19,29441.1,29442.47,29488.0,29488.5,29491.5,29492.0
2023-08-02 09:43:30,29442.07,29442.54,29488.0,29488.5,29491.0,29491.5
2023-08-02 09:43:40,29439.01,29439.28,29483.5,29484.0,29489.5,29490.0
2023-08-02 09:43:51,29443.25,29444.04,29483.5,29484.0,29489.5,29490.0
2023-08-02 09:44:02,29448.08,29449.48,29490.5,29491.0,29491.0,29491.5
2023-08-02 09:44:12,29446.19,29446.94,29490.5,29491.0,29494.5,29495.0
2023-08-02 09:44:23,29446.68,29447.47,29490.5,29491.0,29494.5,29495.0
2023-08-02 09:44:34,29445.25,29446.71,29490.5,29491.0,29495.5,29496.0
2023-08-02 09:44:45,29443.11,29444.37,29490.5,29491.0,29495.5,29496.0
2023-08-02 09:44:55,29443.35,29444.44,29490.0,29490.5,29495.5,29496.0
2023-08-02 09:45:06,29450.15,29450.99,29490.0,29490.5,29496.5,29497.0
2023-08-02 09:45:17,29454.87,29455.99,29501.5,29502.0,29499.5,29503.5
2023-08-02 09:45:28,29458.13,29458.79,29501.5,29502.0,29505.5,29506.0
2023-08-02 09:45:39,29467.18,29468.89,29510.0,29510.5,29511.0,29511.5
2023-08-02 09:45:49,29470.34,29471.72,29516.0,29516.5,29516.5,29517.0
2023-08-02 09:46:00,29470.05,29470.99,29515.0,29515.5,29516.5,29517.0
2023-08-02 09:46:11,29471.01,29471.78,29515.0,29515.5,29516.5,29517.0
2023-08-02 09:46:21,29470.18,29470.97,29515.0,29515.5,29516.5,29517.0
2023-08-02 09:46:32,29469.52,29470.86,29515.0,29515.5,29516.0,29516.5
2023-08-02 09:46:43,29469.23,29469.98,29515.0,29515.5,29516.5,29517.0
2023-08-02 09:46:53,29474.44,29475.47,29515.0,29515.5,29517.5,29518.0
2023-08-02 09:47:04,29472.12,29472.78,29515.0,29515.5,29520.0,29520.5
2023-08-02 09:47:15,29465.27,29466.82,29510.5,29511.0,29516.0,29516.5
2023-08-02 09:47:25,29458.32,29460.52,29506.5,29507.0,29510.0,29510.5
2023-08-02 09:47:36,29458.6,29459.47,29506.5,29507.0,29507.0,29508.0
2023-08-02 09:47:47,29460.04,29460.57,29506.5,29507.0,29507.0,29507.5
2023-08-02 09:47:57,29453.53,29455.29,29501.0,29501.5,29502.5,29503.0
2023-08-02 09:48:08,29455.37,29456.43,29501.0,29501.5,29502.5,29503.0
2023-08-02 09:48:19,29448.02,29448.97,29501.0,29501.5,29500.0,29500.5
2023-08-02 09:48:30,29449.01,29449.55,29501.0,29501.5,29497.0,29497.5
2023-08-02 09:48:41,29442.87,29443.77,29492.0,29492.5,29490.0,29490.5
2023-08-02 09:48:52,29443.18,29443.6,29487.0,29487.5,29490.0,29490.5
2023-08-02 09:49:02,29439.31,29440.17,29487.0,29487.5,29487.0,29487.5
2023-08-02 09:49:13,29441.03,29441.66,29487.0,29487.5,29486.5,29487.0
2023-08-02 09:49:24,29440.91,29441.6,29487.0,29487.5,29486.5,29487.0
2023-08-02 09:49:35,29445.58,29446.92,29491.5,29492.0,29491.0,29491.5
2023-08-02 09:49:46,29446.87,29447.99,29491.5,29492.0,29491.5,29492.0
2023-08-02 09:49:57,29445.54,29446.92,29491.5,29492.0,29491.5,29492.0
2023-08-02 09:50:07,29452.25,29454.16,29499.5,29500.0,29497.0,29497.5
2023-08-02 09:50:18,29452.9,29453.94,29498.0,29498.5,29497.0,29497.5
2023-08-02 09:50:29,29452.88,29453.94,29498.0,29498.5,29499.0,29499.5
2023-08-02 09:50:39,29457.13,29457.89,29504.5,29505.0,29498.5,29499.0
2023-08-02 09:50:50,29461.07,29462.01,29506.5,29507.0,29505.0,29505.5
2023-08-02 09:51:01,29459.42,29460.45,29506.5,29507.0,29505.5,29506.0
2023-08-02 09:51:11,29459.88,29460.35,29506.5,29507.0,29505.5,29506.0
2023-08-02 09:51:23,29462.84,29463.34,29506.5,29507.0,29505.5,29506.0
2023-08-02 09:51:34,29472.42,29473.17,29519.0,29519.5,29513.0,29514.0
2023-08-02 09:51:45,29476.53,29478.0,29523.5,29524.0,29516.5,29517.0
2023-08-02 09:51:56,29476.42,29477.0,29523.5,29524.0,29516.5,29517.0
2023-08-02 09:52:07,29473.55,29474.43,29523.5,29524.0,29516.5,29517.0
2023-08-02 09:52:17,29466.79,29467.51,29517.0,29517.5,29507.5,29508.0
2023-08-02 09:52:28,29471.06,29472.2,29517.0,29517.5,29510.5,29511.0
2023-08-02 09:52:39,29468.43,29469.47,29517.0,29517.5,29510.5,29511.0
2023-08-02 09:52:50,29468.05,29468.67,29517.0,29517.5,29509.5,29510.0
2023-08-02 09:53:01,29474.11,29474.42,29517.0,29517.5,29509.5,29510.0
2023-08-02 09:53:11,29469.79,29470.28,29517.0,29517.5,29513.5,29514.0
2023-08-02 09:53:22,29470.01,29470.63,29517.0,29517.5,29512.0,29512.5
2023-08-02 09:53:33,29466.01,29468.74,29517.0,29517.5,29512.0,29512.5
2023-08-02 09:53:44,29467.76,29468.42,29517.0,29517.5,29511.0,29511.5
2023-08-02 09:53:54,29466.66,29467.98,29517.0,29517.5,29509.5,29510.0
2023-08-02 09:54:05,29462.49,29464.24,29513.0,29513.5,29505.0,29506.5
2023-08-02 09:54:16,29463.7,29464.26,29512.5,29513.0,29506.0,29506.5
2023-08-02 09:54:27,29460.45,29461.97,29509.0,29509.5,29500.5,29501.0
2023-08-02 09:54:38,29457.91,29458.85,29509.0,29509.5,29500.0,29500.5
2023-08-02 09:54:49,29456.24,29456.79,29507.0,29507.5,29499.0,29499.5
2023-08-02 09:54:59,29456.75,29457.71,29507.0,29507.5,29499.0,29499.5
2023-08-02 09:55:10,29463.01,29464.55,29507.0,29507.5,29502.5,29503.0
2023-08-02 09:55:21,29455.38,29455.91,29507.0,29507.5,29502.5,29503.0
2023-08-02 09:55:32,29456.34,29456.84,29507.0,29507.5,29499.0,29499.5
2023-08-02 09:55:43,29456.93,29458.01,29507.0,29507.5,29498.5,29499.0
2023-08-02 09:55:53,29454.3,29455.08,29505.5,29506.0,29496.5,29497.0
2023-08-02 09:56:04,29450.03,29450.67,29501.0,29501.5,29495.0,29495.5
2023-08-02 09:56:15,29448.71,29449.74,29499.0,29499.5,29493.0,29493.5
