,t,o
52,2022-05-08,"{'1m': 54.242554470754, '1w': 69.0757453206437, '1y': 73.2026100918415, '2w': 60.7062672266177, '3m': 63.5196500880531, '6m': 65.6199268848535}"
53,2022-05-09,"{'1m': 57.4810438077692, '1w': 72.8345251033708, '1y': 73.4465957494854, '2w': 66.1884949381853, '3m': 64.6191282960815, '6m': 66.0173589956556}"
54,2022-05-10,"{'1m': 59.5765938640162, '1w': 77.2251494411776, '1y': 73.6188043042015, '2w': 65.7748861997104, '3m': 65.3702961316521, '6m': 66.3632024055674}"
55,2022-05-11,"{'1m': 59.6038235794433, '1w': 72.0921953370404, '1y': 73.6017063664181, '2w': 65.9902779574235, '3m': 65.6499443246117, '6m': 66.4533178476741}"
56,2022-05-12,"{'1m': 64.319219739837, '1w': 70.6534565760973, '1y': 73.9877610040804, '2w': 71.659003240648, '3m': 67.5709878740056, '6m': 67.4172861050741}"
57,2022-05-13,"{'1m': 69.0964447437855, '1w': 95.815121579586, '1y': 73.4199898785932, '2w': 83.8268021734186, '3m': 69.1215193174178, '6m': 68.1726535717721}"
58,2022-05-14,"{'1m': 68.8048664715109, '1w': 96.0635814738574, '1y': 73.4540785026878, '2w': 84.5610778254382, '3m': 69.4018071241936, '6m': 68.2879670893327}"
59,2022-05-15,"{'1m': 69.7582796160687, '1w': 102.284191413008, '1y': 73.4370354380004, '2w': 87.45117552067791, '3m': 69.1722370371973, '6m': 68.3961750684232}"
60,2022-05-16,"{'1m': 69.9840345386483, '1w': 97.4003976395448, '1y': 73.3881268954532, '2w': 86.630227713764, '3m': 69.2437087853912, '6m': 67.8293988458827}"
61,2022-05-17,"{'1m': 70.5340970869216, '1w': 92.544490773975, '1y': 72.9931331017206, '2w': 88.1141685283548, '3m': 68.9657880979913, '6m': 67.8543823051497}"
62,2022-05-18,"{'1m': 70.5360980790537, '1w': 90.0682736175397, '1y': 73.0067743537801, '2w': 86.2269350690332, '3m': 68.2631391309059, '6m': 67.8563276414854}"
63,2022-05-19,"{'1m': 69.6355451087918, '1w': 69.8406149831584, '1y': 71.9119892822291, '2w': 84.0619476685021, '3m': 68.562780204268, '6m': 67.7720509989973}"
64,2022-05-20,"{'1m': 70.5681798280809, '1w': 56.4305849547664, '1y': 71.5180003725939, '2w': 81.9858876009789, '3m': 68.6401429432253, '6m': 67.8226591958489}"
65,2022-05-21,"{'1m': 70.5891704613362, '1w': 54.282583339552, '1y': 71.1684612407364, '2w': 82.5624515710775, '3m': 68.7264802520255, '6m': 67.8755117153766}"
66,2022-05-22,"{'1m': 70.4445300083166, '1w': 51.7341946042785, '1y': 70.8101572883064, '2w': 82.8795882597653, '3m': 68.4221984075738, '6m': 67.8056232265689}"
67,2022-05-23,"{'1m': 71.0141385352668, '1w': 52.2679802122077, '1y': 70.2157817706203, '2w': 79.1152951474791, '3m': 68.3407371748524, '6m': 67.8515644923192}"
68,2022-05-24,"{'1m': 71.4508637599897, '1w': 54.4009248015052, '1y': 69.559696126851, '2w': 75.9019366308693, '3m': 67.2140986919197, '6m': 67.9615184849009}"
69,2022-05-25,"{'1m': 71.7990592676906, '1w': 52.7635491985662, '1y': 69.3530779173458, '2w': 73.9534834309014, '3m': 65.3049845809418, '6m': 67.8675762936697}"
70,2022-05-26,"{'1m': 70.1854671725757, '1w': 48.1750693028989, '1y': 69.2500133676777, '2w': 60.2115394675383, '3m': 65.2541842939114, '6m': 67.3714882424984}"
71,2022-05-27,"{'1m': 69.4193305478247, '1w': 42.9722040580968, '1y': 69.2315202287586, '2w': 50.2033033945868, '3m': 65.2615947763924, '6m': 67.2021539048912}"
72,2022-05-28,"{'1m': 68.7225338974101, '1w': 39.6880120625875, '1y': 68.8924252504773, '2w': 47.5864528370632, '3m': 64.3184736490142, '6m': 67.1871861888061}"
73,2022-05-29,"{'1m': 68.759275280202, '1w': 37.8828596054599, '1y': 68.7588891810825, '2w': 45.3455766761368, '3m': 64.0094917070426, '6m': 66.701211634237}"
