timestamp,Binance_BTCTUSD_Ask,Binance_BTCTUSD_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid
2023-08-29 12:54:49,26005.99,26005.5,25971.99,25969.49
2023-08-29 12:54:53,26005.67,26005.01,25971.99,25969.49
2023-08-29 12:54:58,26005.27,26004.61,25971.98,25969.49
2023-08-29 12:55:02,26002.39,26001.47,25968.02,25966.0
2023-08-29 12:55:06,26002.68,26001.7,25968.85,25966.77
2023-08-29 12:55:11,26001.96,26001.3,25968.86,25966.81
2023-08-29 12:55:17,26002.62,26002.4,25968.85,25966.6
2023-08-29 12:55:21,26002.8,26002.03,25968.85,25966.6
2023-08-29 12:55:26,25995.22,25993.25,25962.09,25960.5
2023-08-29 12:55:30,25995.33,25994.13,25961.13,25959.02
2023-08-29 12:55:35,25998.7,25998.02,25964.33,25961.64
2023-08-29 12:55:39,25998.66,25998.09,25964.87,25961.64
2023-08-29 12:55:43,26003.13,26002.88,25968.2,25966.06
2023-08-29 12:55:47,26002.19,26002.0,25966.32,25965.3
2023-08-29 12:55:51,25999.98,25999.95,25965.94,25963.61
2023-08-29 12:55:55,26000.37,25999.67,25965.94,25962.84
2023-08-29 12:55:59,25999.96,25999.23,25965.94,25963.27
2023-08-29 12:56:05,26000.14,25999.62,25965.94,25963.27
2023-08-29 12:56:09,25999.57,25998.73,25965.95,25962.9
2023-08-29 12:56:13,25999.49,25999.12,25965.88,25963.83
2023-08-29 12:56:17,25999.55,25998.8,25965.86,25963.83
2023-08-29 12:56:22,25999.97,25999.26,25965.86,25963.28
2023-08-29 12:56:26,26000.38,25999.94,25965.86,25963.3
2023-08-29 12:56:30,25997.5,25997.46,25963.08,25961.31
2023-08-29 12:56:34,25998.38,25998.12,25963.56,25961.31
2023-08-29 12:56:38,25999.47,25998.54,25963.93,25961.31
2023-08-29 12:56:42,25999.39,25998.6,25963.93,25961.31
2023-08-29 12:56:45,25999.39,25999.17,25963.93,25961.31
2023-08-29 12:56:50,25999.41,25998.05,25963.93,25961.31
2023-08-29 12:56:54,25997.54,25996.3,25962.18,25960.5
2023-08-29 12:56:58,25998.21,25997.61,25962.18,25960.5
2023-08-29 12:57:04,25998.0,25997.03,25962.18,25960.5
2023-08-29 12:57:07,25997.3,25996.56,25962.18,25960.5
2023-08-29 12:57:12,25997.69,25996.8,25962.18,25960.5
2023-08-29 12:57:17,25997.5,25996.41,25962.18,25960.5
2023-08-29 12:57:21,25997.24,25996.82,25962.18,25960.5
2023-08-29 12:57:25,25991.83,25991.33,25956.78,25956.5
2023-08-29 12:57:29,25991.91,25991.25,25957.26,25955.9
2023-08-29 12:57:32,25991.4,25990.87,25957.58,25955.16
2023-08-29 12:57:35,25989.93,25989.25,25957.57,25954.98
2023-08-29 12:57:40,25989.87,25989.4,25957.55,25954.98
2023-08-29 12:57:45,25990.5,25990.08,25957.96,25955.22
2023-08-29 12:57:49,25994.4,25993.54,25960.63,25958.05
2023-08-29 12:57:54,25993.99,25993.61,25960.62,25958.06
2023-08-29 12:57:58,25993.39,25993.0,25960.05,25957.44
2023-08-29 12:58:05,25992.14,25991.75,25959.06,25957.44
2023-08-29 12:58:10,25991.93,25991.17,25959.33,25956.02
2023-08-29 12:58:14,25991.56,25991.22,25959.23,25957.56
2023-08-29 12:58:18,25991.56,25991.04,25959.22,25957.56
2023-08-29 12:58:22,25991.97,25991.2,25959.62,25957.56
2023-08-29 12:58:27,25991.6,25991.0,25959.62,25957.57
2023-08-29 12:58:32,25993.45,25992.68,25958.89,25957.49
2023-08-29 12:58:37,25993.47,25992.7,25959.82,25957.5
2023-08-29 12:58:41,25993.09,25991.94,25959.72,25956.55
2023-08-29 12:58:44,25992.29,25991.63,25959.72,25956.55
2023-08-29 12:58:49,25992.79,25992.28,25959.72,25956.55
2023-08-29 12:58:54,25993.18,25992.84,25958.38,25956.54
2023-08-29 12:58:58,25994.62,25994.13,25959.99,25956.69
2023-08-29 12:59:03,25994.4,25993.89,25959.76,25956.54
2023-08-29 12:59:07,25994.5,25994.0,25960.0,25956.54
2023-08-29 12:59:11,25993.2,25992.73,25959.99,25957.02
2023-08-29 12:59:16,25992.92,25992.61,25959.99,25957.02
2023-08-29 12:59:19,25993.21,25992.78,25959.99,25957.02
2023-08-29 12:59:24,25994.29,25993.52,25960.55,25958.09
2023-08-29 12:59:28,25994.24,25993.69,25960.5,25958.09
2023-08-29 12:59:34,25993.44,25993.21,25960.5,25958.09
2023-08-29 12:59:39,25994.7,25994.44,25961.31,25958.46
2023-08-29 12:59:43,25995.34,25994.81,25961.55,25958.8
2023-08-29 12:59:47,25995.69,25995.5,25961.55,25958.8
2023-08-29 12:59:53,25995.31,25994.89,25961.53,25958.8
2023-08-29 12:59:57,25991.92,25990.45,25958.88,25955.7
2023-08-29 13:00:03,25989.04,25988.4,25957.3,25954.22
2023-08-29 13:00:08,25986.65,25985.56,25953.18,25950.61
2023-08-29 13:00:12,25987.15,25986.46,25953.99,25950.01
2023-08-29 13:00:17,25986.79,25986.64,25952.96,25950.38
2023-08-29 13:00:21,25986.97,25986.18,25952.95,25950.4
2023-08-29 13:00:24,25989.6,25988.7,25954.66,25952.07
2023-08-29 13:00:28,25989.01,25988.41,25954.66,25952.07
2023-08-29 13:00:33,25989.35,25988.8,25955.15,25952.09
2023-08-29 13:00:36,25983.66,25983.01,25950.68,25948.72
2023-08-29 13:00:40,25983.58,25983.36,25950.68,25948.36
2023-08-29 13:00:43,25986.09,25985.6,25951.62,25949.63
2023-08-29 13:00:47,25987.97,25987.18,25953.72,25951.28
2023-08-29 13:00:51,25988.99,25988.41,25954.54,25952.29
2023-08-29 13:00:56,25987.92,25987.91,25953.08,25950.75
2023-08-29 13:00:59,25987.91,25987.61,25953.07,25950.76
2023-08-29 13:01:04,25985.57,25985.29,25951.45,25948.03
2023-08-29 13:01:11,25985.47,25984.91,25952.0,25949.34
2023-08-29 13:01:16,25987.67,25986.95,25952.73,25950.84
2023-08-29 13:01:20,25986.4,25986.3,25953.18,25950.83
2023-08-29 13:01:23,25986.99,25986.54,25953.18,25950.83
2023-08-29 13:01:27,25987.83,25987.26,25953.74,25950.84
2023-08-29 13:01:31,25987.09,25986.5,25953.74,25950.73
2023-08-29 13:01:35,25986.36,25985.6,25953.74,25950.74
2023-08-29 13:01:40,25987.0,25986.7,25953.48,25950.73
2023-08-29 13:01:43,25986.96,25986.8,25953.48,25950.73
2023-08-29 13:01:48,25989.63,25988.67,25955.14,25952.59
2023-08-29 13:01:54,25989.33,25988.8,25955.19,25952.85
2023-08-29 13:01:59,25989.82,25989.25,25955.19,25952.85
2023-08-29 13:02:04,25988.85,25988.5,25955.19,25952.72
2023-08-29 13:02:09,25989.58,25989.37,25954.54,25952.6
2023-08-29 13:02:13,25988.73,25988.05,25954.26,25951.87
2023-08-29 13:02:18,25987.44,25986.8,25954.26,25950.87
2023-08-29 13:02:24,25986.13,25986.0,25953.49,25950.89
2023-08-29 13:02:28,25986.8,25986.08,25953.49,25950.89
2023-08-29 13:02:32,25988.64,25987.93,25954.67,25952.35
2023-08-29 13:02:36,25987.29,25987.0,25954.67,25952.35
2023-08-29 13:02:42,25989.12,25988.8,25955.98,25953.8
2023-08-29 13:02:46,25989.01,25989.0,25955.98,25953.8
2023-08-29 13:02:50,25994.05,25993.63,25960.8,25958.62
2023-08-29 13:02:56,25993.67,25993.08,25959.65,25957.05
2023-08-29 13:02:59,25993.56,25993.13,25960.55,25957.06
2023-08-29 13:03:04,25994.11,25993.53,25960.55,25957.26
2023-08-29 13:03:09,25994.95,25994.21,25959.15,25958.0
2023-08-29 13:03:15,25995.98,25995.2,25962.0,25959.89
2023-08-29 13:03:20,25995.49,25995.02,25960.15,25958.0
2023-08-29 13:03:24,25994.32,25993.75,25960.14,25958.11
2023-08-29 13:03:29,25992.99,25992.12,25958.51,25955.93
2023-08-29 13:03:33,25993.49,25992.72,25960.14,25957.97
2023-08-29 13:03:37,25992.8,25992.04,25959.27,25957.05
2023-08-29 13:03:42,25992.91,25992.62,25959.83,25957.08
2023-08-29 13:03:46,25993.0,25992.5,25959.83,25957.08
2023-08-29 13:03:51,25994.5,25994.15,25960.56,25958.43
2023-08-29 13:03:55,25995.0,25994.19,25961.09,25958.44
2023-08-29 13:03:59,25995.2,25994.51,25961.08,25958.44
2023-08-29 13:04:03,25995.61,25995.0,25961.08,25958.44
2023-08-29 13:04:09,25996.0,25995.27,25961.09,25958.44
2023-08-29 13:04:13,25994.83,25994.04,25962.0,25958.44
2023-08-29 13:04:17,25999.99,25999.38,25966.05,25963.34
2023-08-29 13:04:22,25997.88,25997.24,25962.63,25961.99
2023-08-29 13:04:27,25997.55,25996.54,25963.61,25961.35
2023-08-29 13:04:30,25997.87,25996.84,25963.61,25961.35
2023-08-29 13:04:34,25997.09,25996.35,25963.61,25961.48
2023-08-29 13:04:38,25997.33,25996.81,25963.61,25961.48
2023-08-29 13:04:43,25997.69,25997.51,25964.18,25962.91
2023-08-29 13:04:46,25999.36,25998.46,25964.2,25962.92
2023-08-29 13:04:51,25998.61,25997.85,25965.49,25962.92
2023-08-29 13:04:56,25998.9,25998.09,25965.49,25963.4
2023-08-29 13:05:01,25999.8,25999.05,25966.2,25963.41
2023-08-29 13:05:06,25998.44,25998.07,25966.2,25963.41
2023-08-29 13:05:10,25997.25,25996.15,25963.67,25963.41
2023-08-29 13:05:15,25997.35,25997.01,25963.67,25963.41
2023-08-29 13:05:20,25997.55,25997.02,25963.67,25963.41
2023-08-29 13:05:23,25994.69,25994.02,25962.24,25959.3
2023-08-29 13:05:28,25996.68,25996.02,25963.66,25961.22
2023-08-29 13:05:32,25998.66,25998.18,25963.67,25962.55
2023-08-29 13:05:38,25999.88,25998.95,25966.7,25964.01
2023-08-29 13:05:43,26000.4,25999.17,25966.7,25964.01
2023-08-29 13:05:47,26000.83,26000.2,25966.69,25964.01
2023-08-29 13:05:52,26001.47,26000.57,25967.15,25965.5
2023-08-29 13:05:56,26001.83,26001.21,25967.15,25965.5
2023-08-29 13:06:00,26001.99,26001.21,25968.73,25966.2
2023-08-29 13:06:04,26002.39,26001.64,25968.3,25966.2
2023-08-29 13:06:08,26003.64,26003.18,25969.2,25967.3
2023-08-29 13:06:13,26004.57,26004.03,25970.1,25968.5
2023-08-29 13:06:17,26003.49,26002.67,25968.48,25967.09
2023-08-29 13:06:21,26004.58,26004.54,25970.8,25968.66
2023-08-29 13:06:25,26005.07,26004.17,25971.5,25970.07
2023-08-29 13:06:28,26005.8,26005.17,25972.0,25970.07
2023-08-29 13:06:33,26007.4,26006.5,25972.8,25971.08
2023-08-29 13:06:38,26005.76,26005.07,25972.8,25971.6
2023-08-29 13:06:41,26006.14,26005.7,25972.8,25971.6
2023-08-29 13:06:45,26004.78,26004.12,25971.86,25970.0
2023-08-29 13:06:49,26005.0,26004.36,25971.82,25969.41
2023-08-29 13:06:54,26005.5,26004.87,25971.86,25970.12
2023-08-29 13:06:57,26004.99,26004.34,25971.86,25970.12
2023-08-29 13:07:00,26004.71,26004.01,25972.67,25970.13
2023-08-29 13:07:04,26005.19,26004.61,25972.65,25970.13
2023-08-29 13:07:08,26005.87,26004.82,25972.65,25970.13
2023-08-29 13:07:12,26007.14,26006.46,25973.59,25971.55
2023-08-29 13:07:16,26006.4,26006.2,25973.59,25970.4
2023-08-29 13:07:19,26006.5,26006.17,25973.59,25970.61
2023-08-29 13:07:24,26006.0,26005.86,25973.47,25971.03
2023-08-29 13:07:28,26005.0,26004.26,25971.28,25968.5
2023-08-29 13:07:31,26004.87,26004.18,25970.62,25969.41
2023-08-29 13:07:34,26004.44,26004.01,25970.62,25968.93
2023-08-29 13:07:38,26005.26,26004.16,25971.6,25969.37
2023-08-29 13:07:42,26005.82,26005.36,25971.59,25969.37
2023-08-29 13:07:46,26006.17,26005.61,25972.0,25969.37
2023-08-29 13:07:51,26005.89,26005.66,25972.0,25969.38
2023-08-29 13:07:54,26002.9,26002.0,25969.29,25966.71
2023-08-29 13:07:59,26001.59,26001.58,25967.58,25965.6
2023-08-29 13:08:04,26004.0,26003.61,25969.64,25967.49
2023-08-29 13:08:08,26004.67,26004.04,25971.13,25968.05
2023-08-29 13:08:14,26004.4,26004.12,25971.12,25968.07
2023-08-29 13:08:18,26004.75,26004.07,25968.33,25966.02
2023-08-29 13:08:23,26004.45,26004.0,25969.8,25968.01
2023-08-29 13:08:28,26003.56,26002.54,25969.8,25968.0
2023-08-29 13:08:34,26002.8,26002.56,25968.26,25966.94
2023-08-29 13:08:39,26002.83,26002.41,25969.79,25966.94
2023-08-29 13:08:44,26002.54,26002.2,25969.79,25966.94
2023-08-29 13:08:48,26005.15,26004.61,25971.59,25969.55
2023-08-29 13:08:52,26006.18,26005.17,25971.29,25969.55
2023-08-29 13:08:55,26005.27,26005.01,25971.29,25969.55
2023-08-29 13:09:00,26003.01,26002.91,25969.35,25966.78
2023-08-29 13:09:04,26002.94,26002.04,25969.35,25966.78
2023-08-29 13:09:08,26003.32,26002.65,25969.35,25966.78
2023-08-29 13:09:14,26003.64,26003.21,25969.33,25966.79
2023-08-29 13:09:20,26005.53,26005.04,25970.94,25967.92
2023-08-29 13:09:27,26005.17,26004.84,25970.94,25967.92
2023-08-29 13:09:31,26004.15,26003.53,25969.65,25966.78
2023-08-29 13:09:36,26002.14,26001.46,25968.97,25966.47
2023-08-29 13:09:41,26001.0,26000.52,25967.57,25966.02
2023-08-29 13:09:46,26000.78,26000.29,25967.57,25965.61
2023-08-29 13:09:50,25999.61,25999.15,25967.57,25965.6
2023-08-29 13:09:54,26001.33,26000.56,25967.57,25965.6
2023-08-29 13:09:58,26001.17,26000.85,25967.57,25966.25
2023-08-29 13:10:04,26002.15,26001.73,25969.95,25967.38
2023-08-29 13:10:08,26001.66,26001.1,25969.95,25967.37
2023-08-29 13:10:11,26001.34,26000.93,25969.95,25967.39
2023-08-29 13:10:15,26001.05,26000.82,25969.98,25967.4
2023-08-29 13:10:19,26003.96,26003.67,25970.76,25968.56
2023-08-29 13:10:24,26004.0,26003.87,25969.86,25967.54
2023-08-29 13:10:28,26003.2,26002.99,25969.86,25967.54
2023-08-29 13:10:32,26004.62,26003.76,25969.86,25967.54
2023-08-29 13:10:37,26007.48,26006.82,25971.58,25970.55
2023-08-29 13:10:42,26006.67,26005.98,25972.89,25969.01
2023-08-29 13:10:46,26007.04,26006.41,25972.12,25970.19
2023-08-29 13:10:50,26007.0,26006.6,25972.12,25970.09
2023-08-29 13:10:53,26006.99,26006.45,25972.12,25970.26
2023-08-29 13:10:57,26007.48,26006.75,25972.12,25970.27
2023-08-29 13:11:01,26007.19,26006.83,25972.8,25970.27
