,o
114,41.0817644361984
115,40.4484384865419
116,40.5093271421093
117,40.8422316735601
118,40.8506938728719
119,40.5307745953774
120,40.5779847345786
121,40.5838072992381
122,40.5787732479683
123,40.6472778502621
124,41.0438975181313
125,41.4021089496789
126,41.2950068465377
127,41.2791077928019
128,41.0942456881477
129,41.0592233171052
130,41.0078110202711
131,41.0258662762788
132,41.1309042053811
133,41.1330082352283
134,41.1890818115402
135,41.4776923059794
136,41.4238776170718
137,41.4191968186729
138,41.4307642740268
139,41.3155190367342
140,41.321835041646
141,41.3637230491322
142,41.5242197328623
143,41.8176329781234
144,41.8378906652495
145,41.8879976124967
146,41.9695265260917
147,41.97015682528
148,41.9868104350412
149,41.9905266932737
150,42.0041899009008
151,42.0135778515219
152,42.0915379287647
153,42.2927501390317
154,43.3748356886381
155,44.0502671094533
156,44.0177025755912
157,44.0472930409454
158,44.0805521257611
159,43.9212693449931
160,42.6418448609068
161,41.4279377284075
162,41.7142289154553
163,41.6896134628359
164,41.8447655900788
165,41.4166177082313
166,40.688028331469
167,40.3208391431956
168,40.4450950756329
169,41.7920193026858
170,43.328674449494
171,43.479498253428
172,43.8859041001802
173,44.0623364468219
174,43.9683091474697
175,43.7367953314413
176,43.4574500651657
177,43.6632736385814
178,43.74711827934
179,43.7740944411157
180,44.1105206197142
181,44.6183132747312
182,45.4458635711244
183,45.1029273049053
184,45.3370219581694
185,45.47062158818
186,45.4531833410911
187,45.5585710375383
188,45.831502255925
189,45.6902934632044
190,49.7761469377559
191,50.2900898344646
192,50.5770618442852
193,51.0927512172124
194,51.9056176968854
195,52.6917300572709
196,52.3683383937614
197,51.3061843216977
198,49.2198765893462
199,48.9945878279179
200,48.7806154426324
201,48.7032272138708
202,48.828173434382
203,49.5112188650984
204,49.5102551848531
205,49.7618538792129
206,49.9922140378719
207,50.2623250047671
208,50.0694498266565
209,49.9052449878462
210,50.5873411716235
211,55.4784833140931
212,55.7939460291709
213,55.9922340417123
214,55.928375056524
215,55.922054321644
216,55.9304093576394
217,55.9990904624254
218,56.0311983876522
219,56.1386166590179
220,56.830342325911
221,58.4325405412187
222,58.5887645078834
223,58.5865056587743
224,59.2590492313661
225,59.0815408276526
226,59.0374971234659
227,59.6234571670033
228,61.9963884583696
229,63.6090959338882
230,64.3546170883448
231,65.9281373812557
232,67.4517606457367
233,67.8998091951457
234,68.0360193774764
235,68.6027908639399
236,76.056515578956
237,76.6876844687796
238,77.2392823945088
239,79.4474543647026
240,80.5572339250247
241,80.9924383006265
242,81.6103343390602
243,81.75768059677699
244,81.800499556445
245,82.7187607428733
246,83.9344109543103
247,85.4176677507176
248,85.7775897525852
249,85.8527250384554
250,86.0635183092617
251,86.7867596641594
252,87.0725636923704
253,87.2566010911103
254,89.132804827643
255,89.9184996335528
256,90.1227457865035
257,90.1892726640948
258,90.2037709347441
259,90.5593044521005
260,90.6685127463845
261,90.1774064731695
262,89.9668447856661
263,90.2082131136297
264,91.3827048123866
265,94.8745544510765
266,95.0982251123252
267,95.4767533069242
268,95.7244352552369
269,95.7407466910221
270,95.6934116360593
271,95.8324334119885
272,95.8304510063832
273,95.8912644231458
274,95.5760943600245
275,95.6883964078115
276,96.2177199478809
277,96.1718558473614
278,96.8788970945679
279,100.029622410276
280,100.370738614653
281,100.401075709201
282,99.4791367157387
283,99.1466038412122
284,99.8083844488121
285,100.805368457983
286,100.81621458949
287,101.104776605467
288,101.422827793396
289,101.933692794
290,101.998133530224
291,102.189163037574
292,102.127879139728
293,102.147139632589
294,102.219795807638
295,102.036641462837
296,102.023957043847
297,102.199884268003
298,102.488423840365
299,103.32877692688
300,103.80682235855
301,101.431853222182
302,101.550722735326
303,101.542941748554
304,101.514697601823
305,101.580628937255
306,101.487519253764
307,101.922118846157
308,101.879300823514
309,102.738104842045
310,102.446863547102
311,101.63476920268
312,101.58871725047
313,101.602336796605
314,101.232330920363
315,101.168590954043
316,101.155437155274
317,100.502222240616
318,98.8698709000218
319,98.0930707577431
320,97.5995655174985
321,96.3424178079498
322,95.1073220787666
323,94.695431162747
324,94.6010271091271
325,94.3709518938424
326,88.9230385124134
327,88.3368597597892
328,88.0690012479281
329,85.86441223378
330,84.9812035673497
331,84.7328698864968
332,84.2761715656677
333,86.4151443910415
334,86.5301102773603
335,86.0072321011426
336,84.714218659956
337,83.3338166632186
338,84.7264895292293
339,84.7192899069866
340,84.5227051330407
341,84.8458592893023
342,84.6345460326452
343,84.1554841673678
344,81.79128531342499
345,81.4002350524306
346,82.0653445228481
347,81.9775862264193
348,81.4505480683109
349,81.9302772543797
350,82.1736397634584
351,81.6728920376117
352,81.3790592418273
353,79.7349232089527
354,74.8139467060136
355,74.6831426016479
356,74.7055217105844
357,74.5874374260854
358,78.2555498662907
359,78.1319713019412
360,78.3397499392946
